Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
4096,50.568593,8760458941,19114338033,482785191506,176059851151
6144,174.657703,29605757450,64111369915,1629248449858,608680688714
8192,419.810968,70164130068,151077531631,3861742800472,1463688211485
10240,824.825976,136988329116,295313892131,7542256231146,2875262293733
