Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
4096,46.064694,9916460516,28566608428,487672443536,160753318010
6144,158.333182,33405907798,105196803686,1645742915859,551983745479
8192,378.851893,79181095635,253956049179,3900840784634,1320219014610
10240,763.657809,154996090380,488560986796,7618619462282,2660963658807
