Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
600.0, 0.808166493, 2.8243918e7, 6.0079868e7, 7.369559576e9, 2.774567683e9
1000.0, 3.358867489, 1.27559089e8, 2.76311056e8, 3.4021060921e10, 1.1728010137e10
1400.0, 9.234692383, 3.65215495e8, 7.68173019e8, 9.3315824848e10, 3.2180992811e10
1800.0, 19.527332147, 8.06489775e8, 1.634536964e9, 1.98341345353e11, 6.8087610615e10
2200.0, 35.568698103, 2.130800409e9, 2.961348844e9, 3.62325497017e11, 1.24264821502e11
2600.0, 58.649578072, 4.342081165e9, 4.881135576e9, 5.97894187134e11, 2.04721349139e11
3000.0, 90.470124643, 6.68774174e9, 7.457459209e9, 9.18329786996e11, 3.15527429224e11
