Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
600,0.432594,242642372,38201753,1518205115,1453882239
1000,2.014310,1228764556,265740919,7017111716,7020660831
1400,5.046170,3537193200,1295805616,19241461015,17589029909
1800,23.472914,9096697561,8165088643,40879260140,81656711071
2200,49.810108,17636955944,23942351987,74618500388,172955210804
2600,88.397721,30894833152,51560197814,123147182907,307124380544
3000,148.619332,50317470107,97414965879,189153318019,516259930075
