Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
600,0.229230,27391680,55616260,1735286324,731568849
1000,0.803900,126233578,252228230,8020111511,2796360303
1400,2.161562,347827988,690975001,21991339535,7548688815
1800,4.595606,754741945,1478164216,46720971486,16054568787
2200,8.370327,2087751131,2700983098,85281004166,29225515050
2600,13.812799,4413206149,4450312355,140743440779,48215845000
3000,21.228519,6780866661,6844537009,216180278092,74100730666
