Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
600.0, 0.99553068, 7.90500038e8, 6.919339e8, 4.684283242e9, 4.071759179e9
1000.0, 18.658195057, 4.187023004e9, 7.128452731e9, 1.9020140154e10, 6.5019318867e10
1400.0, 34.03136434, 1.28028563e10, 3.4399044658e10, 5.2177868671e10, 1.18322522816e11
1800.0, 75.481261578, 2.8503048692e10, 6.9504279682e10, 1.10872142893e11, 2.62195836378e11
2200.0, 110.073660668, 4.2455586813e10, 8.6876310308e10, 2.02675645199e11, 3.82813539405e11
2600.0, 187.947471235, 7.3649099522e10, 1.57002737331e11, 3.34098031635e11, 6.52962498386e11
3000.0, 310.040630685, 1.18329112126e11, 2.42074374008e11, 5.13196185174e11, 1.079053093367e12
