Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
4096,43.480617,9149861272,21603105776,484406853030,151710235946
6144,156.263930,30869068549,74314991708,1634721559533,544202350886
8192,383.221828,73171911624,174616538353,3874716111168,1332982591971
10240,791.274737,143046520843,338989773582,7567594712008,2755506900596
