Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
4096,54.195488,17707708096,17586042367,550091753257,189055892334
6144,186.017273,59702012040,61303190917,1856181522841,647231640676
8192,438.696716,141401440293,151295111884,4399389720695,1528027963458
10240,854.404724,276115987181,302496619366,8592033218858,2976995283393
