Matrix Size,Time,DCM1,DCM2,TOT_INS,TOT_CYC
600,0.448341,9976498,24803466,455248850,1354166371
1000,1.306334,41697426,111586940,1943032002,3839455172
1400,2.609890,91833791,157959013,5195610607,8603440289
1800,5.681155,195569675,380947313,10935697178,17403267346
2200,8.575542,360346937,730171347,19660183111,27809691934
2600,11.831532,628339999,1399190595,32140870548,39452798753
3000,17.336292,983510782,2051038844,49070275131,56658331421
